Country,Time,House Price Index,Income Index,Affordability Ratio
Spain,2008-Q2,114.99000952496901,107.0224080607079,107.44
Spain,2008-Q3,110.80761711056842,107.0224080607079,103.54
Spain,2008-Q4,105.46504049902244,107.0224080607079,98.54
Spain,2009-Q1,102.27811477229594,108.22606600958078,94.5
Spain,2009-Q2,102.14204378621099,108.22606600958078,94.38
Spain,2009-Q3,101.66937615033696,108.22606600958078,93.94
Spain,2009-Q4,101.79112387472873,108.22606600958078,94.05
Spain,2010-Q1,100.86727349552038,106.9041627021986,94.35
Spain,2010-Q2,102.12772052451784,106.9041627021986,95.53
Spain,2010-Q3,99.87109064476162,106.9041627021986,93.42
Spain,2010-Q4,100.13607098608495,106.9041627021986,93.67
Spain,2011-Q1,94.5428372949088,105.53583448232962,89.58
Spain,2011-Q2,93.68344159331961,105.53583448232962,88.77
Spain,2011-Q3,90.27450531034927,105.53583448232962,85.54
Spain,2011-Q4,86.42154791489118,105.53583448232962,81.89
Spain,2012-Q1,82.00998331340013,98.63382654628832,83.15
Spain,2012-Q2,78.951966941912,98.63382654628832,80.05
Spain,2012-Q3,75.50722250470876,98.63382654628832,76.55
Spain,2012-Q4,74.28258362994421,98.63382654628832,75.31
Spain,2013-Q1,69.46925153796022,97.34040109708494,71.37
Spain,2013-Q2,69.39047359864787,97.34040109708494,71.29
Spain,2013-Q3,69.46208990711365,97.34040109708494,71.36
Spain,2013-Q4,68.54540115875187,97.34040109708494,70.42
Spain,2014-Q1,68.2660975557354,97.27324937600882,70.18
Spain,2014-Q2,69.55519110811915,97.27324937600882,71.5
Spain,2014-Q3,69.56235273896571,97.27324937600882,71.51
Spain,2014-Q4,69.74139351013012,97.27324937600882,71.7
Spain,2015-Q1,70.3773463293061,101.23694896551024,69.52
Spain,2015-Q2,72.22719557697678,101.23694896551024,71.34
Spain,2015-Q3,72.71418647454398,101.23694896551024,71.83
Spain,2015-Q4,72.81946244798866,101.23694896551024,71.93
Spain,2016-Q1,74.55257711286013,103.62758831058738,71.94
Spain,2016-Q2,77.37425966641123,103.62758831058738,74.67
Spain,2016-Q3,77.10211769424133,103.62758831058738,74.4
Spain,2016-Q4,75.90612534286308,103.62758831058738,73.25
Spain,2017-Q1,78.77077768149363,105.31865818929884,74.79
Spain,2017-Q2,80.99088324393232,105.31865818929884,76.9
Spain,2017-Q3,82.18687559531055,105.31865818929884,78.04
Spain,2017-Q4,81.56381371165841,105.31865818929884,77.44
Spain,2018-Q1,83.21098880637098,107.09916377680796,77.7
Spain,2018-Q2,85.37380132203705,107.09916377680796,79.71
Spain,2018-Q3,87.09259272521538,107.09916377680796,81.32
Spain,2018-Q4,88.23129202982103,107.09916377680796,82.38
Spain,2019-Q1,92.04127964019968,111.06841340662363,82.87
Spain,2019-Q2,91.64022831279138,111.06841340662363,82.51
Spain,2019-Q3,93.25159525327106,111.06841340662363,83.96
Spain,2019-Q4,92.8791904492491,111.06841340662363,83.62
Spain,2020-Q1,97.68464474730185,109.60677748227259,89.12
Spain,2020-Q2,95.5146706007892,109.60677748227259,87.14
Spain,2020-Q3,100.05514455751863,109.60677748227259,91.29
Spain,2020-Q4,100.54929708593241,109.60677748227259,91.74
Spain,2021-Q1,99.99785151074602,112.8564362606464,88.61
Spain,2021-Q2,101.13655081535167,112.8564362606464,89.62
Spain,2021-Q3,104.08714272414115,112.8564362606464,92.23
Spain,2021-Q4,106.44331927266477,112.8564362606464,94.32
Spain,2022-Q1,109.90954860240774,111.34723410908668,98.71
Spain,2022-Q2,109.89522534071456,111.34723410908668,98.7
